GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43, 3 20 50 46 8 34 9 35 37 6 14 38 4 17, 0, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36, 3 20 50 46 8 34 9 35 37 6 14 38 4 17, 1, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29, 2, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29, 3, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41, 4, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41, 5, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25, 6, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25, 7, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19, 8, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19, 9, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19 26, 10, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19 26, 11, 1
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19 26 53, 12, 0
-109148634, , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5, 3 20 50 46 8 34 9 35 37 6 14 38 4 17 29 41 25 19 26 53, 13, 1
-109148634, 34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5, 3 20 50 46 8 9 6 14 4 17 29 41 25 19 26, 14, 0
-109148634, 34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16, 3 20 50 46 8 9 6 14 4 17 29 41 25 19 26, 15, 1
-109148634, 34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16, 3 20 50 46 8 9 6 14 4 17 29 41 25 19 26 18, 16, 0
-109148634, 34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52, 3 20 50 46 8 9 6 14 4 17 29 41 25 19 26 18, 17, 1
-109148634, 17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52, 3 50 46 8 9 6 14 4 29 41 25 26, 18, 0
-109148634, 17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28, 3 50 46 8 9 6 14 4 29 41 25 26, 19, 1
-109148634, 17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28, 3 50 46 8 9 6 14 4 29 41 25 26 24, 20, 0
-109148634, 17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47, 3 50 46 8 9 6 14 4 29 41 25 26 24, 21, 1
-109148634, 24 25 26 ;17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47, 3 50 46 8 9 6 14 4 29 41, 22, 0
-109148634, 24 25 26 ;17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47 33, 3 50 46 8 9 6 14 4 29 41, 23, 1
-109148634, 24 25 26 ;17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47 33, 3 50 46 8 9 6 14 4 29 41 49, 24, 0
-109148634, 24 25 26 ;17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47 33 32, 3 50 46 8 9 6 14 4 29 41 49, 25, 1
-109148634, 24 25 26 ;17 18 19 20 ;34 35 53 37 38 , 11 7 21 31 2 27 42 10 44 22 39 51 48 43 36 13 30 45 12 23 5 16 52 28 47 33 32, 3 50 46 8 9 6 14 4 29 41 49 40, 26, 0
