GameId, Board, PlayersHands, MoveNumber, CurrentPlayer-937136906,com.gameEngine.Board@79fc0f2f,;,0,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2;,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2;yellow|1,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6;yellow|1,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6;yellow|1 black|5,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5;yellow|1 black|5,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5;yellow|1 black|5 yellow|9,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6;yellow|1 black|5 yellow|9,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6;yellow|1 black|5 yellow|9 blue|11,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8;yellow|1 black|5 yellow|9 blue|11,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8;yellow|1 black|5 yellow|9 blue|11 blue|9,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13;yellow|1 black|5 yellow|9 blue|11 blue|9,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13 yellow|10,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12 yellow|6;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13 yellow|10,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12 yellow|6;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12 yellow|6 red|4;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|7,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 black|6 yellow|5 red|6 yellow|8 red|13 red|12 yellow|6 red|4;yellow|1 black|5 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|7 blue|6,1,1
