GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30, 24 23 49 21 48 28 45 26 38 40 46 14 1 11, 0, 0
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22, 24 23 49 21 48 28 45 26 38 40 46 14 1 11, 1, 1
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22, 24 23 49 21 48 28 45 26 38 40 46 14 1 11 7, 2, 0
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39, 24 23 49 21 48 28 45 26 38 40 46 14 1 11 7, 3, 1
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39, 24 23 49 21 48 28 45 26 38 40 46 14 1 11 7 47, 4, 0
926450282, , 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19, 24 23 49 21 48 28 45 26 38 40 46 14 1 11 7 47, 5, 1
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19, 24 23 21 28 26 38 11 7, 6, 0
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33, 24 23 21 28 26 38 11 7, 7, 1
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33, 24 23 21 28 26 38 11 7 43, 8, 0
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37, 24 23 21 28 26 38 11 7 43, 9, 1
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37, 24 23 21 28 26 38 11 7 43 36, 10, 0
926450282, 4546474849 11440, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50, 24 23 21 28 26 38 11 7 43 36, 11, 1
926450282, 45464748 11440 233649, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50, 24 21 28 26 38 11 7 43, 12, 0
926450282, 45464748 11440 233649, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50 25, 24 21 28 26 38 11 7 43, 13, 1
926450282, 45464748 11440 233649, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50 25, 24 21 28 26 38 11 7 43 32, 14, 0
926450282, 45464748 11440 233649, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50 25 35, 24 21 28 26 38 11 7 43 32, 15, 1
926450282, 45464748 11440 233649, 29 4 44 20 9 16 27 13 2 12 6 10 17 30 22 39 19 33 37 50 25 35, 24 21 28 26 38 11 7 43 32 34, 16, 0
926450282, 41730 92235 45464748 11440 233649, 29 44 20 16 27 13 2 12 6 10 39 19 33 37 50 25, 24 21 28 26 38 11 7 43 32 34, 17, 1
926450282, 45464748 4173043 11440 92235 233649, 29 44 20 16 27 13 2 12 6 10 39 19 33 37 50 25, 24 21 28 26 38 11 7 32 34, 18, 0
926450282, 47484950 1142740 4173043 61945 203346 92235 102336, 29 44 16 13 2 12 39 37 25, 24 21 28 26 38 11 7 32 34, 19, 1
926450282, 91011 343536 454647 484950 21222324 1142740 4173043 61932 72033, 29 44 16 13 2 12 39 37 25, 28 26 38, 20, 0
926450282, 353637 434445 484950 22232425 910111213 1142740 7203346 41730 61932 213447, 29 16 2 39, 28 26 38, 21, 1
926450282, 212223 242526 333435 363738 434445 47484950 910111213 1142740 41730 61932 72046, 29 16 2 39, 28, 22, 0
926450282, 91011 212223 343536 434445 46474849 1142740 41730 61932 72033 243750 122538 132639, 29 16 2, 28, 23, 1
926450282, 91011 212223 343536 434445 46474849 1142740 41730 61932 72033 243750 122538 132639, 29 16 2, 28 8, 24, 0
926450282, 91011 212223 343536 434445 46474849 1142740 41730 61932 72033 243750 122538 132639, 29 16 2 31, 28 8, 25, 1
926450282, 678 91011 192021 222324 323334 353637 444546 47484950 1142740 4173043 122538 132639, 29 16 2 31, 28, 26, 0
926450282, 678 91011 192021 222324 293031 323334 353637 484950 44454647 1142740 41743 122538 132639, 16 2, 28, 27, 1
926450282, 678 91011 192021 222324 272829 303132 484950 44454647 3334353637 11440 41743 122538 132639, 16 2, , 28, 0
