GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-13992947, , 32 4 40 14 45 20 18 38 41 30 27 34 36 6, 53 15 47 3 48 16 28 12 50 33 23 11 22 35, 0, 0
-13992947, , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5, 53 15 47 3 48 16 28 12 50 33 23 11 22 35, 1, 1
-13992947, 22 35 48 ;15 16 17 , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5, 47 3 28 12 50 33 23 11, 2, 0
-13992947, 22 35 48 ;15 16 17 , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5 52, 47 3 28 12 50 33 23 11, 3, 1
-13992947, 15 16 17 ;22 35 48 , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5 52, 47 3 28 12 50 33 23 11 13, 4, 0
-13992947, 15 16 17 ;22 35 48 , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5 52 31, 47 3 28 12 50 33 23 11 13, 5, 1
-13992947, 11 12 13 ;15 16 17 ;22 35 48 , 32 4 40 14 45 20 18 38 41 30 27 34 36 6 5 52 31, 47 3 28 50 33 23, 6, 0
-13992947, 14 27 40 ;5 18 31 ;6 32 45 ;11 12 13 ;15 16 17 ;22 35 48 , 4 20 38 41 30 34 36 52, 47 3 28 50 33 23, 7, 1
-13992947, 11 12 13 ;15 16 17 ;14 27 40 ;5 18 31 ;6 32 45 ;22 35 48 , 4 20 38 41 30 34 36 52, 47 3 28 50 33 23 29, 8, 0
-13992947, 11 12 13 ;15 16 17 ;14 27 40 ;5 18 31 ;6 32 45 ;22 35 48 , 4 20 38 41 30 34 36 52 24, 47 3 28 50 33 23 29, 9, 1
-13992947, 11 12 13 ;15 16 17 ;14 27 40 ;5 18 31 ;6 32 45 ;22 35 48 , 4 20 38 41 30 34 36 52 24, 47 3 28 50 33 23 29 8, 10, 0
-13992947, 11 12 13 ;15 16 17 ;14 27 40 ;5 18 31 ;6 32 45 ;22 35 48 , 4 20 38 41 30 34 36 52 24 9, 47 3 28 50 33 23 29 8, 11, 1
-13992947, 11 12 13 ;15 16 17 ;14 27 40 ;5 18 31 ;6 32 45 ;22 35 48 , 4 20 38 41 30 34 36 52 24 9, 47 3 28 50 33 23 29 8 43, 12, 0
-13992947, 11 12 13 ;15 16 17 ;34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24, 47 3 28 50 33 23 29 8 43, 13, 1
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24, 47 3 28 50 23 29 8 43, 14, 0
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24 49, 47 3 28 50 23 29 8 43, 15, 1
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24 49, 47 3 28 50 23 29 8 43 17, 16, 0
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24 49 2, 47 3 28 50 23 29 8 43 17, 17, 1
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24 49 2, 47 3 28 50 23 29 8 43 17 10, 18, 0
-13992947, 11 12 13 ;15 16 17 ;33 34 35 36 ;14 27 40 ;5 18 31 ;6 32 45 ;9 22 48 , 4 20 38 41 30 52 24 49 2 7, 47 3 28 50 23 29 8 43 17 10, 19, 1
