GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
2061965036, , 40 44 43 24 22 12 8 31 14 53 18 19 2 49, 3 4 20 11 23 37 9 6 48 52 46 50 13 15, 0, 0
2061965036, , 40 44 43 24 22 12 8 31 14 53 18 19 2 49 51, 3 4 20 11 23 37 9 6 48 52 46 50 13 15, 1, 1
2061965036, 113750, 40 44 43 24 22 12 8 31 14 53 18 19 2 49 51, 3 4 20 23 9 6 48 52 46 13 15, 2, 0
2061965036, 183144 495051 113750, 40 43 24 22 12 8 14 19 2, 3 4 20 23 9 6 48 52 46 13 15, 3, 1
2061965036, 183144 495051 113750, 40 43 24 22 12 8 14 19 2, 3 4 20 23 9 6 48 52 46 13 15 42, 4, 0
2061965036, 495051 183144 112437, 40 43 24 22 12 8 14 19 2 47, 3 4 20 23 9 6 48 52 46 13 15 42, 5, 1
2061965036, 4849505152 183144 112437, 40 43 24 22 12 8 14 19 2 47, 3 4 20 23 9 6 46 13 15 42, 6, 0
2061965036, 474849 505152 183144 112437, 40 43 24 22 12 8 14 19 2, 3 4 20 23 9 6 46 13 15 42, 7, 1
2061965036, 505152 46474849 183144 112437, 40 43 24 22 12 8 14 19 2, 3 4 20 23 9 6 13 15 42, 8, 0
2061965036, 505152 46474849 183144 112437, 40 43 24 22 12 8 14 19 2 32, 3 4 20 23 9 6 13 15 42, 9, 1
2061965036, 505152 46474849 183144 112437, 40 43 24 22 12 8 14 19 2 32, 3 4 20 23 9 6 13 15 42 29, 10, 0
2061965036, 505152 46474849 183144 112437, 40 43 24 22 12 8 14 19 2 32 27, 3 4 20 23 9 6 13 15 42 29, 11, 1
2061965036, 505152 46474849 32942 183144 112437, 40 43 24 22 12 8 14 19 2 32 27, 4 20 23 9 6 13 15, 12, 0
2061965036, 505152 46474849 142740 32942 183144 112437, 43 24 22 12 8 19 2 32, 4 20 23 9 6 13 15, 13, 1
2061965036, 505152 46474849 142740 32942 183144 112437, 43 24 22 12 8 19 2 32, 4 20 23 9 6 13 15 10, 14, 0
2061965036, 505152 46474849 142740 32942 183144 112437, 43 24 22 12 8 19 2 32 30, 4 20 23 9 6 13 15 10, 15, 1
2061965036, 464748 505152 142740 32942 183144 102349 112437, 43 24 22 12 8 19 2 32 30, 4 20 9 6 13 15, 16, 0
2061965036, 464748 505152 142740 32942 183144 102349 112437, 43 24 22 12 8 19 2 32 30 45, 4 20 9 6 13 15, 17, 1
2061965036, 464748 505152 142740 32942 183144 102349 112437, 43 24 22 12 8 19 2 32 30 45, 4 20 9 6 13 15 21, 18, 0
2061965036, 464748 505152 142740 32942 183144 193245 102349 112437, 43 24 22 12 8 2 30, 4 20 9 6 13 15 21, 19, 1
2061965036, 192021 464748 505152 142740 32942 183144 63245 102349 112437, 43 24 22 12 8 2 30, 4 9 13 15, 20, 0
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30, 4 9 13 15, 21, 1
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30, 4 9 13 15 26, 22, 0
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30 38, 4 9 13 15 26, 23, 1
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30 38, 4 9 13 15 26 17, 24, 0
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30 38 33, 4 9 13 15 26 17, 25, 1
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30 38 33, 4 9 13 15 26 17 35, 26, 0
2061965036, 202122 505152 45464748 142740 32942 183144 61932 102349 112437, 43 24 12 8 2 30 38 33 28, 4 9 13 15 26 17 35, 27, 1
2061965036, 202122 454647 505152 142740 32942 183144 61932 93548 102349 112437, 43 24 12 8 2 30 38 33 28, 4 13 15 26 17, 28, 0
