GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-1605144919, , 21 41 28 37 44 25 24 36 46 4 26 30 35 42, 9 31 53 6 5 38 3 34 40 18 14 8 47 52, 0, 0
-1605144919, 24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42, 9 31 53 6 5 38 3 34 40 18 14 8 47 52, 1, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42, 9 6 38 3 52, 2, 0
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48, 9 6 38 3 52, 3, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48, 9 6 38 3 52 27, 4, 0
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20, 9 6 38 3 52 27, 5, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20, 9 6 38 3 52 27 29, 6, 0
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10, 9 6 38 3 52 27 29, 7, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10, 9 6 38 3 52 27 29 15, 8, 0
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10 13, 9 6 38 3 52 27 29 15, 9, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10 13, 9 6 38 3 52 27 29 15 33, 10, 0
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10 13 43, 9 6 38 3 52 27 29 15 33, 11, 1
-1605144919, 5 18 31 ;8 34 47 ;14 15 40 ;24 25 26 ;35 36 37 , 21 41 28 44 46 4 30 42 48 20 10 13 43, 9 6 38 3 52 27 29 15 33 12, 12, 0
