GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
574224755, , 1 41 50 52 37 38 15 36 29 4 53 35 21 8, 48 45 22 6 12 33 9 47 39 31 19 5 13 30, 0, 0
574224755, 35 36 37 38 ;15 53 41 , 1 50 52 29 4 21 8, 48 45 22 6 12 33 9 47 39 31 19 5 13 30, 1, 1
574224755, 6 19 45 ;9 22 48 ;35 36 37 38 ;15 16 41 , 1 50 52 29 4 21 8, 12 33 47 39 31 5 13 30, 2, 0
574224755, 6 19 45 ;9 22 48 ;35 36 37 38 ;15 16 41 , 1 50 52 29 4 21 8 3, 12 33 47 39 31 5 13 30, 3, 1
574224755, 6 19 45 ;9 22 48 ;35 36 37 38 ;15 16 41 , 1 50 52 29 4 21 8 3, 12 33 47 39 31 5 13 30 49, 4, 0
574224755, 6 19 45 ;9 22 48 ;35 36 37 38 ;15 16 41 , 1 50 52 29 4 21 8 3 28, 12 33 47 39 31 5 13 30 49, 5, 1
574224755, 6 19 45 ;9 22 48 ;35 36 37 38 ;15 16 41 , 1 50 52 29 4 21 8 3 28, 12 33 47 39 31 5 13 30 49 46, 6, 0
574224755, 35 36 37 38 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 48 , 1 50 52 4 21 8, 12 33 47 39 31 5 13 30 49 46, 7, 1
574224755, 36 37 38 39 ;46 47 48 49 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 , 1 50 52 4 21 8, 12 33 31 5 13 30, 8, 0
574224755, 36 37 38 39 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 , 1 52 4 21 8, 12 33 31 5 13 30, 9, 1
574224755, 36 37 38 39 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 , 1 52 4 21 8, 12 33 31 5 13 30 44, 10, 0
574224755, 36 37 38 39 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 , 1 52 4 21 8 51, 12 33 31 5 13 30 44, 11, 1
574224755, 36 37 38 39 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 , 1 52 4 21 8 51, 12 33 13 30, 12, 0
574224755, 50 51 52 ;36 37 38 39 ;46 47 48 49 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 , 1 4 21 8, 12 33 13 30, 13, 1
574224755, 36 37 38 ;46 47 48 ;49 50 51 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;13 39 52 , 1 4 21 8, 12 33 30, 14, 0
574224755, 36 37 38 ;46 47 48 ;49 50 51 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;13 39 52 , 1 4 21 8 14, 12 33 30, 15, 1
574224755, 36 37 38 ;46 47 48 ;49 50 51 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;13 39 52 , 1 4 21 8 14, 12 33 30 25, 16, 0
574224755, 36 37 38 ;46 47 48 ;49 50 51 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;13 39 52 , 1 4 21 8 14 43, 12 33 30 25, 17, 1
574224755, 36 37 38 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43, 33 30, 18, 0
574224755, 36 37 38 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43 18, 33 30, 19, 1
574224755, 36 37 38 ;46 47 48 49 50 ;15 28 41 ;3 16 29 ;5 31 44 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43 18, 33 30 27, 20, 0
574224755, 36 37 38 ;46 47 48 49 50 ;5 18 31 44 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43, 33 30 27, 21, 1
574224755, 36 37 38 ;46 47 48 49 50 ;5 18 31 44 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43, 33 30 27 34, 22, 0
574224755, 36 37 38 ;46 47 48 49 50 ;5 18 31 44 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43 24, 33 30 27 34, 23, 1
574224755, 36 37 38 ;46 47 48 49 50 ;5 18 31 44 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43 24, 33 30 27 34 23, 24, 0
574224755, 36 37 38 ;46 47 48 49 50 ;5 18 31 44 ;15 28 41 ;3 16 29 ;6 19 45 ;9 22 35 ;12 25 51 ;13 39 52 , 1 4 21 8 14 43 24 17, 33 30 27 34 23, 25, 1
